barcode,total_quantity
5710409201056,38
5055166356473,4
5055166355124,33
5055166355940,33
5055166349499,22
5055166355001,18
5055166348454,69
5055166356022,78
5055166355544,24
5055166355995,4
5055166356008,50
5055166356848,1
5055166352086,2
5055166356886,14
5055166356817,11
4260243450567,25
4260243450536,10
4260243450130,3
4260243450161,2
4260243451588,14
4260243451595,11
4041077010802,19
4041077010680,47
4041077010659,34
4041077010109,173
4041077010741,26
4041077010710,28
4041077010772,8
4041077002715,81
4041077004467,13
4041077009974,1
4041077009981,2
4041077009998,1
4041077006065,8
8427614602727,2
8427614606527,5
8427614001919,5
8427614060374,1
6938242957032,519
6938242957131,14
6938242954024,145
6938242952938,94
5060204030406,45
5060204030208,96
5060204030383,122
5060204030369,29
5055166356893,5
5055166348478,22
5425020500029,2
5425020500234,1
5425020500036,2
5425020500043,4
5425020500050,1
5425020500265,2
5425020500272,1
5425020500685,4
5425020500692,3
5425020500067,1
5425020500074,2
5425020500166,3
5425020500173,29
5425020500128,1
5425020500296,2
5425020500081,1
5425020500098,6
5425020500104,1
5425020500180,1
5425020500197,7
5425020500111,1
5425020500203,1
5425020500210,2
5425020500340,5
5425020500357,6
5425020500142,2
5425020500159,2
5425020500500,10
5425020500524,12
5060272133443,28
5060272133511,36
5425020500371,1
5425020500418,2
5425020500388,1
5425020500425,1
5425020500432,1
5425020500449,1
5425020500456,2
5425020500487,2
5425020500395,2
5060639144259,70
5055166351980,33
4019359860377,13
4019359860407,2
8427614506186,20
4260243451908,13
5060639145263,28
5060639144747,4
5060639144754,2
5060639144761,22
5060639144778,8
5060639144785,8
5060639144792,4
5060639144808,4
5060639144815,31
5060639145744,33
4019359881204,152
4019359882645,21
4019359836556,45
4019359820579,3
4019359827394,5
4019359827967,7
4019359815711,1
5710409201209,286
5710409201193,1
5710409201223,2
5055166357159,13
5055166357180,17
5055166357173,38
5055166357166,30
5055166357265,21
5055166357289,48
5055166357272,65
5055166357364,10
5055166357395,3
5055166357371,29
5055166357296,2
5055166357302,30
4019359882638,40
4019359882652,26
5060204030123,46
9790902171908,14
9790706173009,16
9790706173016,24
4260243450154,2
4260243182338,28
4260243451717,131
4260243451724,12
4260243451472,16
4260243451489,31
4260243451915,2
5707167945230,541
5425020500630,8
5425020500593,32
5425020500609,57
5425020500623,28
5425020500616,28
5055166356947,8
5055166356114,1
5055166356107,14
5055166356091,6
5055166356930,25
5055166356510,12
5055166357524,63
5055166356138,1
5055166356701,34
5055166355476,25
5055166355506,8
5055166355490,1
5055166356572,8
5055166356619,31
5055166350105,9
5055166350112,7
5055166356602,2
5055166356589,9
5055166353250,6
5055166350051,4
5055166352345,5
5055166353304,7
5055166352369,2
5055166352376,3
5055166357579,9
5055166356916,5
5055166356664,6
5055166356671,9
5055166356657,6
5055166356688,5
5055166355407,13
5055166357050,3
5055166357067,11
5055166357043,10
5055166357074,44
5060272132873,22
5060272133313,34
4260350563099,60
4260350563105,32
4260350564577,27
4260350564584,28
5055166357340,67
5055166351812,27
5055166356879,30
5055166355971,39
5055166357722,5
5055166357708,8
5055166357821,11
5055166357845,25
5055166357852,48
5055166357630,51
5055166357647,19
5055166357654,42
5055166357746,25
5055166357760,2
4820148900446,147
4820148900163,146
4820148900071,23
4820148900149,48
4820148900460,14
4820148900132,30
3512610310006,10
3512610210009,6
3512610410003,6
3512610600008,1
5200384530581,6
5200384502854,37
5200384501505,5
5200384501482,30
5200384501543,28
5200384501536,2
5200384501512,22
5200384501550,11
5200384530567,3
5200384530550,8
5200384502830,5
3512610454458,2
3512610003618,20
3512610440000,10
3512610041009,3
3512610444008,10
3512610000051,10
3512610314417,42
3512610001546,14
3512610434443,8
3512610125006,14
3512610331209,19
3512610045304,16
3512610014409,14
3760077550071,3
3760077550019,5
3512610351405,3
3512610361206,2
3512610100003,2
3512610351108,2
3512610000129,2
3512610353201,4
3512610000426,2
3512610000532,2
3512610133018,2
3512610133025,1
5060204032943,8
5060204031557,5
5060204032707,6
5060204032721,4
5060204032745,5
5060204031809,8
5060204031823,22
5060204031847,6
817742022012,143
5710409106894,44
5710409106900,11
5710409106917,16
5710409106924,25
5710409106931,4
5710409106948,26
5710409106870,15
5710409106863,72
5060639145485,7
5060639145539,7
5060639145638,1
5060639145621,20
5060639145546,4
5060639145553,8
4779030060402,48
4779030060396,35
5060639142293,16
5060204032851,33
5200384502175,9
5200384502182,12
5200384502199,15
5200384502168,47
5060204032103,2
5060204032127,9
5060204032141,8
4041077011274,6
4041077011373,5
4041077001077,1
8427614121150,21
8427614121143,83
8427614060695,23
8427614063627,4
8427614060503,10
8427614406226,18
8427614406233,8
8427614406240,24
5710409107310,20
5710409107327,124
5710409107334,51
5710409107341,51
5710409105477,56
5710409106825,81
5710409106832,131
5710409105590,290
5710409105231,273
5710409105224,115
5710409106795,40
5710409106801,11
5710409106757,32
5710409106764,15
5710409106771,30
5710409106887,21
5710409201278,32
5710409107136,11
5200384501062,60
5200384501079,20
5200384501086,12
5200384501147,17
5200384501284,5
5200384501130,18
5200384501154,45
5200384501161,62
5200384501178,43
5200384501185,20
5200384501192,20
5200384501215,19
5200384501246,16
5200384501253,18
5200384501260,25
5200384501116,4
5200384501277,25
5200384501208,61
5200384501239,18
5200384501123,18
5200384501109,49
5200384501383,2
5200384501390,34
5200384501369,23
5200384501376,15
4019359860964,528
4019359828148,7
4019359864511,1
4260243450444,7
4260243262061,3
4779030060228,28
5710409102858,237
5710409107587,82
5710409107600,8
5710409107563,453
5710409107556,120
5710409107549,45
5710409107532,439
5710409107617,20
5710409107624,24
5710409107235,21
4260243450086,3
5055166356725,15
4260243450208,144
5710409105415,51
4019359880870,4
4019359860230,11
4779030060365,77
5055166356596,7
5710409104739,142
650726210117,56
650726210780,131
650726210353,50
753068880694,21
753068880717,11
617762138959,5
650726210063,1
753068880380,39
753068880397,13
753068880304,2
753068880311,72
753068880342,46
753068880359,42
3550839921740,67
3550839922228,37
3550839922242,21
3550839927773,3
3550839927810,2
3550833100141,1
3550833200056,3
3550833200124,2
3550833200155,7
3550833200186,9
3550833300084,18
3550833300121,18
3550833300213,9
3550833300220,2
3550833300381,17
3550833300541,8
3550833300558,11
3550833300657,30
3550833301111,28
3550833301128,21
3550833301135,54
3550833301227,61
3550833301258,6
3550833400098,18
3550833400579,6
3550833400586,79
3550833400593,24
3550833400616,35
3550833400715,16
3550833400739,32
3550833900352,15
3550833900376,28
3550833901052,2
3550833300787,55
3550833901045,2
3550833901014,5
3550833300893,4
3550833300749,79
3550833300763,10
3550833300886,27
3550833300879,35
3550833300916,15
3550833300992,43
5060639146369,5
3550833300435,108
3550833300930,132
3550833300954,243
3550833400647,9
3550833400609,16
3550833300923,77
3550833900062,3
3550833300688,26
5710409106726,34
5710409106733,74
5710409106740,78
5710409107280,68
5055166358750,3
8427614245757,8
8427614507299,17
8427614507305,1
5710409107419,31
3760039940315,81
5060639146017,38
5200384503813,97
5200384503912,10
4820148900385,137
4820148900422,72
4820148900514,119
4820148900477,22
4820148900439,172
4779030060105,179
4779030060426,123
4779030060433,194
4779030060440,207
4779030060457,274
4779030060464,226
4779030060471,292
4779030060488,300
4779030060495,175
4779030060501,258
4779030060518,131
4779030060525,226
4779030060532,244
4779030060549,67
4779030060556,172
4779030060563,209
4779030060570,174
4779030060587,132
4779030060594,115
4779030060600,210
4779030060617,37
4779030060624,257
4779030060631,225
5055166359702,23
5055166359733,12
5055166358583,27
5055166358569,8
5055166357685,35
5055166357241,1
5055166359603,24
5055166359610,22
5055166359559,33
5055166359542,46
4779030060648,267
5710409108126,321
5710409108133,53
5710409108140,54
5710409108157,8
5710409108607,34
5710409108614,65
3550833300961,64
YO-328,4
5710409107525,100
5710409107518,317
5200384504100,75
5200384504117,139
5710409201391,32
3550833400180,3
5060204033339,6
5060204033315,8
5060204033353,9
5060204030598,8
5060204030611,9
5060204030567,13
5060204032967,9
5060204033254,2
5060204033278,6
5060204030758,6
5060204030772,2
5060204030727,12
5060204032950,6
3512610513001,1
3512610454366,35
3512610454342,33
3512610045434,30
3512610045441,35
3512610045465,29
3512610454335,20
3512610454434,8
3512610454632,21
5710409201803,115
5710409201797,218
5710409201810,84
5710409108850,54
5060639146604,42
5060639146024,91
5060639146086,198
5060639146147,52
3760039941510,58
5055166359887,19
5055166359825,21
5055166359801,24
5055166360364,71
5055166360371,20
5055166358637,102
5055166358910,60
5055166358811,6
5055166358309,10
5055166358286,19
5055166360166,10
5055166360197,21
5055166360180,3
5055166360173,6
5055166358439,54
5055166358460,53
5055166358453,110
5055166358477,70
3550833300848,15
3550833300909,5
3550833301029,45
3550833301036,8
3550833301159,3
3550833301210,55
3550833301364,12
3550833400654,24
3550833400777,11
3550833400791,28
3550833400814,23
3550833400821,7
3550833400838,29
3550833400852,15
3550833901106,1
5710409201858,1
5710409201834,32
5710409108836,25
5710409108843,45
5710409108799,120
5710409108805,73
5710409108713,412
5710409108867,102
5710409108874,99
5710409109000,49
8427614607982,6
8427614607999,2
8427614653668,1
8427614608347,6
8427614608354,11
8427614608361,14
8427614981051,4
8427614981211,2
8427614981440,4
8427614981723,2
8427614981693,4
8427614608187,69
8427614607807,52
8427614608323,7
8427614508128,1
8427614653651,2
8427614653699,2
8427614653743,1
8427614653170,2
8427614653477,22
8427614653484,5
8427614607876,3
8427614608200,8
8427614608255,4
8427614607548,1
8427614653446,5
2780015671003,131
2780015671454,332
5060639140916,139
2780015671492,26
5060639144365,123
5060639147700,71
2780015671539,89
5060639146703,24
5060639146727,39
5060639146918,2
3550833900420,4
5710409103466,11
5710409103459,33
5710409100779,2
5710409100755,2
5710409100786,1
5710409101998,1
5200384516028,169
4260350561002,1
4260350560111,3
4260350560166,2
857598005005,2
857598005012,6
4019359160132,1
4019359880481,71
4779030060334,1
4779030060273,889
4779030060129,795
5710409104258,26
5710409104982,2
5710409104876,2
4041077003347,1
4041077002227,5
718856156894,6
817742021176,2
817742023972,3
5055166355599,1
3760039940957,82
8427614602789,1
8427614980566,1
5710409104975,1
817742020384,2
5710409105385,16
6938242957070,105
6938242956004,37
5060204030529,19
4820148900316,6
5060204030116,12
5055166356497,13
5055166356527,6
5055166357661,34
4820148900194,106
4820148900408,1
3512610140009,9
3512610660002,10
5060204030178,33
8427614406059,1
5710409101219,1
6938242953089,119
6938242953102,36
6938242953362,259
3550833400623,34
8427614981181,5
5710409201421,13
